nclusters=9	adj_rand=0.6488	nmi=0.8047	vi=0.7927	split_join=400
nclusters=39	adj_rand=0.7402	nmi=0.8290	vi=0.7926	split_join=297
nclusters=41	adj_rand=0.7402	nmi=0.8283	vi=0.7998	split_join=296
nclusters=43	adj_rand=0.7485	nmi=0.8329	vi=0.7840	split_join=288
nclusters=39	adj_rand=0.8608	nmi=0.8638	vi=0.6158	split_join=202

100: 客机 遇难 航空 坠毁 公司 飞机 机场 尼日利亚 空难 事故
54: 伊朗 地震 受伤 阿塞拜疆 死亡 政府 救援 村庄 造成 国家
47: 美国 局长 彼得雷乌斯 中央 联邦 调查局 奥巴马 情报局 辞职 总统
82: 美国 利比亚 大使 使馆 领事馆 先知 袭击 抗议 电影 伊斯兰教
2: 名著 科学 环境 现象 墨西哥湾 海岸 来自 气象学 系统 官员
2: 怀疑 富豪 售价 建筑 中国 中央 照相 单元 住宅楼 下来
2: 桑迪 发电 带来 管理 损害 不测 纽约 系统 维护 风险
3: 状况 传统 电力 议题 预计 电池 发言人 衡量 美国 官员
12: 美国 众议员 吉福兹 亚利桑那州 政治 议员 国会 支持 凯利 候选人
181: 以色列 加沙 巴勒斯坦 地带 哈马斯 冲突 行动 军事 埃及 停火
3: 事物 寻求 方案 冲突 对话 实现 打击 一劳永逸 免受 升级
2: 包括 武装 以色列 废墟 丧生 幸存者 老板 平民 德拉 哈马斯
2: 冲突 耶路撒冷 资金 口径 数量 原因 中国银行 车队 官方 品牌
3: 国家 运动 征召 裂痕 重演 内塔尼亚胡 舆论 拜曼 预测 哈马斯
2: 立场 国际 超过 卡桑 开火 当局 福祉 应当 民族 袭击
2: 代号 中东 造成 姓名 入伍 准备 反应 改变 大使 发射
2: 政权 人行道 精力 大阪市 民众 干部 政界 民主党 阵营 力量
2: 日本 动向 日方 德尔罗萨里奥 军事 援助 促进 方面 和平 太平洋
2: 中国政府 出身 外务 致力 冷却 丹羽 大使 日本 领导班子 日方
2: 全球 大选 合作 党首 众议院 问题 称赞 辞去 赢得 总统
2: 获得 支持 实力 难题 发展 面临 衰退 日本 预计 占有
2: 扩大 执政 基本法 大阪 联合 政策 进入 高层 石原 路线
2: 国家 行使 国防军 强化 解释 控制 加强 提出 日本 允许
2: 基础 交情 众议院 大选 安倍 接受 官房长官 朝野 中央 外祖父
2: 使命 政权 当选 门市 派系 美国 国会 作用 原因 决心
2: 安倍 在意 引发 担任 出乎意料 笔记本 透露 票数 党首 已故
2: 自民党 辞去 外界 入阁 干事长 交通 日本 改革 盛传 国会
39: 美国 穆斯林 先知 伊斯兰 电影 伊斯兰教 影片 抗议 示威 政府
4: 法官 穆斯林 视频 威胁 死亡 法院 美国 要求 网站 演员
2: 政府 传播 穆罕默德 调查 亵渎 组织 过程 媒介 电视 穆斯林
65: 美国 枪击 议员 亚利桑那州 吉福兹 联邦 国会 众议员 头部 事件
3: 谋杀 法院 枪击 法官 面临 死刑 凤凰 联邦 亚利桑那州 保释
32: 总统 穆巴拉克 埃及 医院 监狱 开罗 状况 死亡 临床 军方
39: 委内瑞拉 总统 查韦斯 选举 候选人 连任 国家 大选 卡普里莱斯 竞选
2: 北京 总统 贺文萍 中国 医院 非洲 穆巴拉克 兄弟 穆斯林 生死
3: 美国 伊斯兰教 突尼斯 苏丹 华盛顿 国家 示威 航班 死亡 公民
291: 日本 选举 首相 自民党 民主党 众院 安倍 野田佳彦 大选 党首
2: 联合 金融 担当 国家 首相 麻生 劳动 官房长官 民主党 田中真纪子
219: 飓风 桑迪 美国 纽约 造成 影响 新泽西州 居民 政府 风暴
